City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.33,45.3,79,10,2.62,NZ,1603714706
Saint Paul Harbor,57.79,-152.41,48.2,74,90,17.22,US,1603714706
Jamestown,42.1,-79.24,45.0,100,90,3.36,US,1603714611
Cockburn Town,21.46,-71.14,83.35,80,90,19.84,TC,1603714707
Rikitea,-23.12,-134.97,75.07,84,100,19.62,PF,1603714707
Port Lincoln,-34.73,135.87,54.82,79,16,11.7,AU,1603714707
Tokur,53.13,132.9,26.13,90,48,2.21,RU,1603714708
Kristianstad,56.03,14.15,54.0,93,75,5.82,SE,1603714708
Boca do Acre,-8.75,-67.4,78.62,83,48,3.31,BR,1603714433
Ushuaia,-54.8,-68.3,44.6,75,75,9.62,AR,1603714708
Ribeira Grande,38.52,-28.7,69.8,83,40,17.22,PT,1603714708
Marawi,8.0,124.29,82.0,86,100,1.01,PH,1603714708
Dikson,73.51,80.55,15.76,97,100,12.1,RU,1603714708
Atuona,-9.8,-139.03,78.53,76,4,23.11,PF,1603714709
Punta Arenas,-53.15,-70.92,51.01,81,75,9.17,CL,1603714595
Lompoc,34.64,-120.46,50.0,93,1,3.51,US,1603714709
Carauari,-4.88,-66.9,78.76,77,97,0.92,BR,1603714534
Guerrero Negro,27.98,-114.06,68.49,64,91,16.17,MX,1603714710
East London,-33.02,27.91,64.4,93,75,16.11,ZA,1603714710
Grindavik,63.84,-22.43,41.0,75,0,8.05,IS,1603714710
Olovyannaya,50.95,115.57,29.59,86,94,19.95,RU,1603714710
Tasiilaq,65.61,-37.64,33.8,59,100,24.16,GL,1603714710
Ubinskoye,55.31,79.68,39.49,94,100,10.31,RU,1603714710
Mandeville,18.04,-77.51,77.0,88,20,3.36,JM,1603714711
Hobart,-42.88,147.33,51.8,57,75,5.82,AU,1603714668
Nhamundá,-2.19,-56.71,82.22,75,39,3.36,BR,1603714711
Busselton,-33.65,115.33,63.0,65,1,6.76,AU,1603714712
Hithadhoo,-0.6,73.08,83.82,66,0,7.18,MV,1603714712
Fortuna,40.6,-124.16,41.0,52,1,9.17,US,1603714712
Saint-Philippe,-21.36,55.77,75.2,78,75,4.7,RE,1603714712
Qaanaaq,77.48,-69.36,7.39,71,71,8.19,GL,1603714712
Albany,42.6,-73.97,42.01,88,100,8.52,US,1603714712
Vuktyl,63.86,57.31,22.03,97,18,5.03,RU,1603714712
Isangel,-19.55,169.27,72.57,78,3,10.22,VU,1603714712
Ponta do Sol,32.67,-17.1,69.8,73,40,11.41,PT,1603714713
Kapaa,22.08,-159.32,78.4,76,28,4.14,US,1603714612
Beringovskiy,63.05,179.32,30.49,93,0,2.95,RU,1603714713
Geraldton,-28.77,114.6,68.0,77,0,9.17,AU,1603714714
Butaritari,3.07,172.79,81.46,69,100,9.98,KI,1603714714
Tuatapere,-46.13,167.68,45.43,75,41,1.41,NZ,1603714714
Amānganj,24.43,80.03,82.44,37,32,5.37,IN,1603714714
Leningradskiy,69.38,178.42,25.41,97,100,5.75,RU,1603714714
Tura,25.52,90.22,72.07,93,24,2.08,IN,1603714569
Cabo San Lucas,22.89,-109.91,71.01,72,4,1.99,MX,1603714714
New Norfolk,-42.78,147.06,51.01,63,11,1.7,AU,1603714714
Yellowknife,62.46,-114.35,28.4,79,90,13.87,CA,1603714502
Hermanus,-34.42,19.23,75.0,66,96,8.01,ZA,1603714715
Huarmey,-10.07,-78.15,64.42,80,82,5.41,PE,1603714775
Port Alfred,-33.59,26.89,66.7,84,98,27.02,ZA,1603714775
Fort Nelson,58.81,-122.7,24.8,73,90,2.24,CA,1603714501
George Town,5.41,100.34,80.6,78,20,2.82,MY,1603714775
Kapuskasing,49.42,-82.43,21.2,92,75,4.7,CA,1603714775
Rizhao,35.43,119.46,59.72,65,0,4.07,CN,1603714775
Winslow,35.02,-110.7,35.6,93,90,11.41,US,1603714776
Pisco,-13.7,-76.22,62.01,87,38,3.36,PE,1603714776
Chokurdakh,70.63,147.92,10.94,96,85,13.98,RU,1603714776
Portland,45.52,-122.68,36.0,66,1,2.86,US,1603714685
Barrow,71.29,-156.79,15.8,78,1,6.93,US,1603714776
Normandin,48.83,-72.53,33.8,59,90,6.93,CA,1603714776
Ancud,-41.87,-73.82,46.99,100,90,13.87,CL,1603714776
Taiyuan,37.87,112.56,62.6,21,0,6.71,CN,1603714776
Tarata,-17.62,-66.02,68.0,45,82,1.36,BO,1603714777
Yelizovo,53.19,158.38,41.0,100,75,6.71,RU,1603714777
Kruisfontein,-34.0,24.73,64.99,94,100,4.0,ZA,1603714777
Port Elizabeth,-33.92,25.57,62.6,100,90,18.34,ZA,1603714777
Mataura,-46.19,168.86,37.49,93,18,1.07,NZ,1603714777
Thompson,55.74,-97.86,23.0,85,90,5.82,CA,1603714501
Sola,-13.88,167.55,80.73,80,51,19.75,VU,1603714777
Jiaojiang,28.68,121.44,66.0,71,28,5.99,CN,1603714777
Riberalta,-10.98,-66.1,77.0,94,40,5.82,BO,1603714777
Kitui,-1.37,38.01,82.8,41,81,9.42,KE,1603714778
Pevek,69.7,170.31,25.2,98,100,4.99,RU,1603714778
Tuktoyaktuk,69.45,-133.04,4.57,94,66,7.52,CA,1603714778
Muravlenko,63.79,74.52,18.41,97,99,15.99,RU,1603714778
Maţāy,28.42,30.78,87.01,28,0,7.74,EG,1603714572
Lagoa,39.05,-27.98,66.92,82,26,24.02,PT,1603714778
Brae,60.4,-1.35,51.8,81,20,16.11,GB,1603714778
Severo-Kuril'sk,50.68,156.12,42.57,80,67,4.83,RU,1603714778
Sitka,57.05,-135.33,53.6,81,90,10.29,US,1603714779
Belaya Gora,68.53,146.42,5.41,89,31,6.98,RU,1603714779
Bengkulu,-3.8,102.27,78.78,77,100,4.36,ID,1603714681
Cayenne,4.93,-52.33,82.4,83,75,3.36,GF,1603714779
Lehigh Acres,26.63,-81.62,75.2,88,20,4.7,US,1603714563
Road Town,18.42,-64.62,84.0,83,40,9.17,VG,1603714683
Lexington,37.99,-84.48,52.0,93,90,4.7,US,1603714681
Cape Town,-33.93,18.42,78.8,41,0,10.29,ZA,1603714586
Nanortalik,60.14,-45.24,33.75,94,100,16.49,GL,1603714780
Tres Picos,15.87,-93.53,77.0,71,59,5.1,MX,1603714780
Coahuayana Viejo,18.73,-103.68,76.91,89,28,2.01,MX,1603714780
Sambava,-14.27,50.17,79.39,65,8,12.44,MG,1603714780
Mar del Plata,-38.0,-57.56,57.99,87,20,5.82,AR,1603714500
Longyearbyen,78.22,15.64,24.8,79,20,6.93,SJ,1603714780
Bredasdorp,-34.53,20.04,71.6,64,40,20.8,ZA,1603714780
Ulagan,50.63,87.96,31.91,83,78,2.84,RU,1603714840
Qaqortoq,60.72,-46.03,44.6,30,75,23.04,GL,1603714591
Lázaro Cárdenas,17.96,-102.2,77.43,86,12,4.38,MX,1603714841
Hilo,19.73,-155.09,73.4,73,40,5.82,US,1603714841
Yulara,-25.24,130.99,73.4,20,0,6.93,AU,1603714841
Iskateley,67.68,53.15,15.6,93,14,3.89,RU,1603714841
Kapit,2.02,112.93,74.77,93,100,2.08,MY,1603714841
Upernavik,72.79,-56.15,15.17,79,69,5.68,GL,1603714842
Doha,25.29,51.53,89.01,62,20,9.17,QA,1603714549
Vallenar,-28.57,-70.76,72.05,21,0,4.74,CL,1603714842
Waterloo,43.47,-80.52,36.0,93,90,4.7,CA,1603714733
Lebu,-37.62,-73.65,49.46,72,51,2.91,CL,1603714842
Vaini,-21.2,-175.2,71.6,94,75,9.17,TO,1603714843
Ocós,14.51,-92.19,75.2,94,90,5.86,GT,1603714843
West Chester,39.96,-75.61,55.0,93,90,6.22,US,1603714832
Inuvik,68.35,-133.72,12.2,92,90,10.29,CA,1603714843
Enshi,30.3,109.48,60.66,65,94,0.81,CN,1603714843
Talnakh,69.49,88.4,8.6,84,40,4.47,RU,1603714843
Mahébourg,-20.41,57.7,78.8,65,40,14.99,MU,1603714834
Saldanha,-33.01,17.94,75.2,47,51,11.41,ZA,1603714844
Pierre,44.37,-100.35,6.8,77,1,4.7,US,1603714844
Saint-Pierre,-21.34,55.48,75.2,78,75,4.7,RE,1603714603
Kaitangata,-46.28,169.85,48.99,77,45,3.53,NZ,1603714844
Lata,40.16,-8.33,62.01,67,60,1.99,PT,1603714844
Ouallam,14.32,2.09,96.75,9,31,7.87,NE,1603714844
Airai,-8.93,125.41,64.17,100,97,1.57,TL,1603714825
Hualmay,-11.1,-77.61,63.79,81,84,4.34,PE,1603714844
Nouakchott,18.09,-15.98,100.4,9,10,16.11,MR,1603714592
Bratsk,56.13,101.61,26.6,68,40,8.95,RU,1603714844
Vila,42.03,-8.16,52.0,90,68,8.99,PT,1603714845
Puerto Ayora,-0.74,-90.35,66.0,93,99,7.0,EC,1603714845
Otegen Batyra,43.43,77.02,57.2,33,20,6.71,KZ,1603714845
Natchez,31.56,-91.4,60.8,87,90,3.36,US,1603714845
Lüderitz,-26.65,15.16,71.8,52,2,26.13,NA,1603714845
Inhambane,-23.86,35.38,84.2,70,40,12.75,MZ,1603714682
San Cristobal,7.77,-72.22,77.0,78,40,4.7,VE,1603714846
Burnie,-41.07,145.92,48.99,74,16,3.0,AU,1603714846
Mago,53.25,140.18,33.76,90,73,4.43,RU,1603714846
Hinnerup,56.27,10.06,53.6,87,100,4.7,DK,1603714846
Dudinka,69.41,86.18,8.6,84,40,4.47,RU,1603714846
Cherskiy,68.75,161.3,7.12,95,45,2.62,RU,1603714846
Saskylakh,71.92,114.08,4.33,92,99,7.76,RU,1603714847
Paita,-5.09,-81.11,64.4,88,0,14.99,PE,1603714847
Korla,41.76,86.15,50.45,42,64,5.73,CN,1603714847
Constitución,-35.33,-72.42,53.62,57,2,8.14,CL,1603714908
Cesvaine,56.97,26.32,51.75,78,92,10.98,LV,1603714908
Andros Town,24.7,-77.77,77.0,94,0,4.7,BS,1603714908
Orlik,52.52,99.83,14.45,88,66,5.14,RU,1603714872
Elmina,5.09,-1.35,81.57,83,90,10.98,GH,1603714909
Tiksi,71.69,128.87,5.41,91,99,19.26,RU,1603714909
Komsomolets,53.75,62.07,35.69,85,100,24.79,KZ,1603714909
Fairbanks,64.84,-147.72,33.8,97,90,12.75,US,1603714854
Ostrovnoy,68.05,39.51,30.47,96,100,19.42,RU,1603714909
Arrondissement d'Arcachon,44.59,-1.05,57.2,81,85,12.75,FR,1603714909
Dustlik,40.52,68.04,68.25,24,76,1.54,UZ,1603714909
Guadalupe y Calvo,26.1,-106.97,47.61,71,0,4.36,MX,1603714910
Alcañiz,41.05,-0.13,57.99,53,23,15.01,ES,1603714910
Padang,-0.95,100.35,79.88,73,94,1.83,ID,1603714910
College,64.86,-147.8,33.8,86,90,12.75,US,1603714910
Nome,64.5,-165.41,33.8,80,75,5.82,US,1603714911
Gorontalo,0.54,123.06,78.03,83,86,2.48,ID,1603714911
Urengoy,65.97,78.37,5.38,94,8,9.73,RU,1603714911
Cassilândia,-19.11,-51.73,84.34,62,35,5.08,BR,1603714911
Bereda,43.27,-7.54,55.0,75,51,11.01,ES,1603714912
Ormara,25.21,64.64,79.7,52,0,8.08,PK,1603714912
Harper,4.38,-7.72,80.87,82,84,8.03,LR,1603714912
Grand Gaube,-20.01,57.66,77.0,70,60,11.99,MU,1603714913
Atar,20.52,-13.05,97.92,10,22,12.37,MR,1603714913
Katangli,51.71,143.23,39.2,91,100,17.52,RU,1603714913
Bethel,41.37,-73.41,46.0,93,90,4.7,US,1603714913
Tigil',57.8,158.67,37.6,78,99,5.57,RU,1603714913
Pitogo,13.78,122.09,78.66,88,100,11.21,PH,1603714914
Souillac,-20.52,57.52,78.8,65,40,14.99,MU,1603714914
San Diego,32.72,-117.16,62.6,77,75,3.36,US,1603714914
Neftçala,39.37,49.25,70.0,53,100,11.23,AZ,1603714914
Lovozero,68.0,35.01,32.22,96,100,18.54,RU,1603714914
Pemba,-12.97,40.52,84.2,66,40,14.99,MZ,1603714915
Coquimbo,-29.95,-71.34,53.6,76,0,1.12,CL,1603714695
Dāmghān,36.17,54.35,72.84,20,52,4.94,IR,1603714915
Bouna,9.27,-3.0,96.98,32,1,1.97,CI,1603714915
Vanimo,-2.67,141.3,76.89,83,100,4.07,PG,1603714915
Hong Kong,22.29,114.16,77.0,79,0,1.99,HK,1603714741
Ust'-Kut,56.79,105.77,19.35,93,71,2.57,RU,1603714915
Avarua,-21.21,-159.78,73.4,73,100,14.99,CK,1603714916
Dzaoudzi,-12.79,45.27,86.0,62,20,9.17,YT,1603714916
Alofi,-19.06,-169.92,73.49,89,97,17.65,NU,1603714916
Carnarvon,-24.87,113.63,71.6,78,0,24.16,AU,1603714916
Faanui,-16.48,-151.75,79.59,76,67,8.28,PF,1603714852
Narsaq,60.92,-46.05,44.6,30,75,23.04,GL,1603714916
Arraial do Cabo,-22.97,-42.03,73.4,88,75,4.7,BR,1603714913
Te Anau,-45.42,167.72,38.93,88,45,3.74,NZ,1603714916
Kavaratti,10.57,72.64,83.01,71,32,6.58,IN,1603714977
Oriximiná,-1.77,-55.87,82.11,71,42,3.18,BR,1603714977
Mutare,-18.97,32.67,84.52,25,0,10.07,ZW,1603714977
Newport,51.59,-3.0,55.99,92,59,1.99,GB,1603714977
Richards Bay,-28.78,32.04,76.42,63,83,11.59,ZA,1603714977
Caravelas,-17.71,-39.25,78.75,86,87,9.19,BR,1603714931
Crotone,39.09,17.12,69.8,60,0,16.11,IT,1603714977
Glencoe,-28.18,30.15,77.67,40,60,12.24,ZA,1603714978
Freeport,40.66,-73.58,53.01,93,90,9.17,US,1603714683
Kahului,20.89,-156.47,75.2,69,20,2.73,US,1603714978
Kamloops,50.67,-120.32,24.8,92,90,5.82,CA,1603714978
Linxia Chengguanzhen,35.6,103.21,39.63,82,100,5.86,CN,1603714978
Ukiah,39.15,-123.21,44.6,30,1,4.25,US,1603714978
Praia,14.92,-23.51,86.0,62,75,25.28,CV,1603714900
Vardø,70.37,31.11,35.6,95,75,25.28,NO,1603714979
Homer,59.64,-151.55,39.2,93,90,6.93,US,1603714979
Wad Rāwah,15.16,33.14,102.99,15,0,7.38,SD,1603714979
Kemijärvi,66.71,27.43,39.15,97,100,5.12,FI,1603714979
Kabo,7.7,18.63,94.35,43,34,2.26,CF,1603714979
Cherdyn',60.4,56.48,26.19,95,100,8.03,RU,1603714979
Norwich,52.63,1.3,54.0,81,75,11.41,GB,1603714979
Songjianghe,42.19,127.48,40.53,70,70,4.97,CN,1603714979
Maningrida,-12.07,134.27,81.36,70,96,6.08,AU,1603714980
Tongliao,43.61,122.27,48.27,51,34,10.8,CN,1603714980
Pak Thong Chai,14.72,102.03,71.6,100,75,3.36,TH,1603714980
Kumul,42.8,93.45,46.08,47,28,7.63,CN,1603714841
Lázně Bělohrad,50.43,15.58,55.0,93,100,5.99,CZ,1603714980
Castro,-24.79,-50.01,67.6,77,62,9.6,BR,1603714860
Nishihara,26.18,127.76,75.2,64,20,12.75,JP,1603714832
Tanout,14.97,8.89,89.31,12,58,9.57,NE,1603714980
Mildura,-34.2,142.15,55.4,87,90,3.36,AU,1603714980
Buraidah,26.33,43.98,89.6,14,0,5.82,SA,1603714825
Coro,11.4,-69.67,80.38,79,70,12.28,VE,1603714981
Mīnāb,27.15,57.08,91.4,19,0,11.41,IR,1603714981
Bubaque,11.28,-15.83,83.12,76,0,4.56,GW,1603714981
Santa Isabel Rio Negro,-0.41,-65.02,77.14,93,100,0.65,BR,1603714982
Salalah,17.02,54.09,84.2,51,0,8.05,OM,1603714982
Sirte,31.21,16.59,77.81,52,41,7.67,LY,1603714982
Asău,46.43,26.4,55.99,94,92,3.76,RO,1603714982
Quixadá,-4.97,-39.02,81.97,60,100,5.93,BR,1603714982
Karratha,-20.74,116.85,72.82,79,35,16.26,AU,1603714685
Nikolskoye,59.7,30.79,50.0,87,90,8.95,RU,1603714983
Khovd,48.01,91.64,30.07,74,7,1.03,MN,1603714983
Codrington,-38.27,141.97,50.16,70,22,13.38,AU,1603714880
Eyl,7.98,49.82,82.47,61,62,16.11,SO,1603714983
Solnechnyy,50.72,136.63,33.96,73,0,2.39,RU,1603714983
Kindu,-2.95,25.95,89.15,48,40,4.63,CD,1603714983
Novikovo,51.15,37.89,55.15,60,54,4.25,RU,1603714983
Clyde River,70.47,-68.59,12.2,78,90,8.05,CA,1603715044
Cavaillon,43.83,5.04,60.8,62,0,16.11,FR,1603715044
Velsk,61.07,42.1,33.06,89,98,3.53,RU,1603715044
Nemuro,43.32,145.57,50.86,75,83,9.78,JP,1603715044
Chui,-33.7,-53.46,67.64,94,96,3.2,UY,1603715044
Aksarka,66.56,67.8,9.52,96,100,11.18,RU,1603715044
Salina,38.84,-97.61,23.0,79,90,18.34,US,1603715045
Itaparica,-12.89,-38.68,80.6,78,75,6.93,BR,1603715045
Havelock,34.88,-76.9,60.01,93,90,10.29,US,1603714963
Nioro,13.35,-15.75,95.63,40,0,0.83,GM,1603715045
Sandūr,15.1,76.55,79.93,66,23,8.14,IN,1603715045
Kaunas,54.9,23.9,53.6,81,90,10.29,LT,1603714805
Port Macquarie,-31.43,152.92,62.01,76,65,1.99,AU,1603715046
Mount Gambier,-37.83,140.77,50.0,81,36,11.41,AU,1603715046
Whitehorse,60.72,-135.05,28.4,92,90,26.4,CA,1603714956
Kamenka,51.32,42.77,53.01,79,23,6.69,RU,1603715046
Carutapera,-1.2,-46.02,86.22,63,60,7.87,BR,1603715046
Wau,7.7,28.0,94.23,44,99,1.39,SS,1603715047
Mananara,-16.17,49.77,80.02,60,3,8.32,MG,1603715047
Provideniya,64.38,-173.3,30.31,93,73,5.08,RU,1603715047
Nabīnagar,23.89,90.97,82.4,83,15,5.86,BD,1603715047
Kieta,-6.22,155.63,79.61,74,100,1.5,PG,1603715047
Mehamn,71.04,27.85,33.8,80,20,23.04,NO,1603715047
Feijó,-8.16,-70.35,78.22,84,32,3.18,BR,1603715047
Manchester,53.48,-2.24,53.01,87,99,13.87,GB,1603715047
Makkah al Mukarramah,21.43,39.83,96.53,28,0,14.03,SA,1603715047
Chicama,-7.84,-79.15,65.41,77,95,2.15,PE,1603715048
Kampene,-3.6,26.67,88.11,52,33,3.76,CD,1603715048
Kovdor,67.57,30.48,34.54,96,100,5.93,RU,1603715048
Sabang,5.89,95.32,82.67,77,84,16.69,ID,1603715048
Juba,4.85,31.58,88.79,50,100,3.78,SS,1603715048
Inta,66.03,60.17,15.76,94,19,9.17,RU,1603715048
Hobyo,5.35,48.53,82.71,69,34,8.43,SO,1603715048
Carnot,4.94,15.87,87.28,57,97,2.35,CF,1603715048
Mount Isa,-20.73,139.5,71.6,49,75,13.87,AU,1603714827
Hat Yai,7.01,100.48,78.8,100,40,4.7,TH,1603715049
Aklavik,68.22,-135.01,12.2,92,90,10.29,CA,1603715049
Guane,22.2,-84.09,78.84,88,87,10.2,CU,1603715049
Hay River,60.82,-115.8,21.2,85,20,11.41,CA,1603715049
Port Blair,11.67,92.75,81.18,78,93,3.36,IN,1603714868
Okhotsk,59.38,143.3,30.18,86,0,20.07,RU,1603715050
Bambous Virieux,-20.34,57.76,78.8,65,40,14.99,MU,1603714867
Mondragone,41.11,13.89,68.0,68,75,10.67,IT,1603715050
Hasaki,35.73,140.83,57.2,71,20,2.24,JP,1603715050
Strausberg,52.58,13.89,60.01,76,99,8.46,DE,1603715050
